token,count
state,3288
festival,1594
history,1487
tourism,1293
art,893
telangana,566
cuisine,519
pradesh,489
temple,456
sanctuary,438
language,414
wildlife,389
religion,377
costume,344
tamil,321
assam,319
personalities,314
park,276
nadu,269
lake,245
karnataka,236
national,235
painting,223
jharkhand,197
sikkim,175
west,156
bengal,156
tripura,152
palace,152
sarees,150
embroidery,149
arunachal,139
india,136
silk,136
fort,136
bihar,136
monastery,135
puja,131
himachal,131
andhra,122
