token,count
hindu,265
century,257
indian,231
india,182
sanctuary,132
festival,131
annual,123
temple,107
wildlife,105
lake,101
buddhist,94
park,93
three,89
river,82
shiva,82
empire,74
national,73
british,63
palace,60
day,51
two,51
tibetan,50
fort,50
assamese,48
european,46
year,45
first,41
new,40
silk,38
kilometres,37
years,37
april,36
kol,36
museum,35
church,34
monastery,34
south,34
sarees,34
dzongu,33
month,32
