entity,label,count
roman calendar,PERSON,6
khurja pottery,ORG,6
kinnerasani wildlife sanctuary,ORG,6
kurukh,GPE,6
madurai sungudi sarees,ORG,6
laknavaram lake,PERSON,6
nelakondapalli,ORG,6
adis,PERSON,6
ashokan rock edict,WORK_OF_ART,6
kurur,GPE,6
nandanagar,GPE,6
hundru falls,PERSON,6
nati imli,ORG,6
the mahamaham tank,ORG,6
sangai,PRODUCT,6
the assam provincial museum,ORG,6
durga,ORG,6
the kingdom of mysore,GPE,6
nyokum,PERSON,6
hidimbi,PERSON,6
pattachitra,NORP,6
bodh gaya,PERSON,6
the minjar festival,EVENT,6
machher jhol,FAC,6
guwahati,GPE,6
preserving india’s rich heritage,WORK_OF_ART,6
kadamba,ORG,6
shabana azmi,PERSON,6
gunabati group of temples,ORG,6
manjusha,NORP,6
chowmahalla palace,PERSON,6
dholka taluka,PERSON,6
rudrasagar lake,PERSON,5
the college of the holy spirit,ORG,5
shamlaji melo,PERSON,5
abids,WORK_OF_ART,5
the kaveri river,LOC,5
the tibeto-burman,ORG,5
the falaknuma palace,ORG,5
gothic,ORG,5
cheekupally,ORG,5
the pocharam wildlife sanctuary,ORG,5
yamuna,ORG,5
pootharekulu,PERSON,5
tiwa,ORG,5
sri mukhalingam temple,ORG,5
kashmiri,ORG,5
thaipusam,PRODUCT,5
hidimbi devi,PERSON,5
barsana,ORG,5
nandgaon,ORG,5
eastern indo-aryan,LOC,5
southern india,LOC,5
alwal lake,WORK_OF_ART,5
deepika kumari,PERSON,5
pocharam,GPE,5
the asman garh palace,ORG,5
zakir husain,PERSON,5
safilguda lake,LOC,5
the ramanathaswamy temple,ORG,5
kundagannada,ORG,5
nanda devi,PERSON,5
national academy of fine arts,ORG,5
manjunatha,PERSON,5
the trishna wildlife sanctuary,ORG,5
rachakonda fort,WORK_OF_ART,5
argentina,GPE,5
kafuli,PERSON,5
monabarie,ORG,5
cheiraoba,GPE,5
the manipuri new year,FAC,5
zaru,ORG,5
gurkha,PERSON,5
gajam anjaiah,PERSON,5
"the ""tawang monastery",ORG,5
baha parab,WORK_OF_ART,5
bangalore karaga,PERSON,5
tori railway station,FAC,5
khar,PERSON,5
ramman,PERSON,5
pocharam lake,LOC,5
the si-donyi festival,ORG,5
kartik poornima,PERSON,5
lucknow residency,ORG,5
the kashmiri new year,EVENT,5
thaipusam kavadi,PERSON,5
bodhi,ORG,5
torchlight parade,LOC,5
ghaghara,WORK_OF_ART,5
pakhal lake,ORG,5
thang-ta,PERSON,5
khortha,PERSON,5
deepavali,ORG,5
manjusha art,PERSON,5
punjab agricultural university,ORG,5
warangal fort,FAC,5
the tawang monastery,ORG,5
ho,PERSON,5
golghar,PERSON,5
sailo,GPE,5
neermahal,PERSON,5
villianur,ORG,5
kardang monastery,PERSON,5
goddess saraswati,ORG,5
the government of india,ORG,5
kerala mural paintings,ORG,5
kyongnosla alpine sanctuary,PERSON,5
great himalayan national park,FAC,5
jal mandir,PERSON,5
bishnupur,PERSON,5
mirzapur,GPE,5
dasara,PERSON,5
riha,ORG,5
aadi perukku,GPE,5
falaknuma palace,FAC,4
the kinnerasani wildlife sanctuary,ORG,4
karam puja,ORG,4
karam-devta,ORG,4
zari,PERSON,4
takri,PERSON,4
ce,GPE,4
indo-roman,ORG,4
madhubani,LOC,4
the edulabad water reservoir,ORG,4
the sita ramachandraswamy temple,ORG,4
mir osman,PERSON,4
ali khan,PERSON,4
secunderabad,GPE,4
tant,ORG,4
rudrasagar,GPE,4
basmati,ORG,4
edulabad water reservoir,ORG,4
contemporary,ORG,4
lakshadeepotsava,PERSON,4
pedana kalamkari,PERSON,4
lathmar holi,PERSON,4
noon chai,WORK_OF_ART,4
tikuli,GPE,4
oliga,NORP,4
textile,ORG,4
yugang bamboo altars,ORG,4
gnana saraswati temple,FAC,4
khara,GPE,4
dharamshala,GPE,4
coconut,ORG,4
kumbhakonam,GPE,4
konyaks,ORG,4
durga puja,ORG,4
ins kursura,PERSON,4
panikotha,GPE,4
shabana,GPE,4
sikkimese,GPE,4
spanish,NORP,4
mosque,NORP,4
kalamkari,GPE,4
khursheed jah devdi,ORG,4
humayun,PERSON,4
gangtok carpet weaving,ORG,4
the kolkata book fair,ORG,4
khara dupatta,PERSON,4
pichwai painting,PERSON,4
kulvi,PERSON,4
sepahijala wildlife sanctuary,ORG,4
tungnath,PERSON,4
pandavas,NORP,4
annexation of goa,ORG,4
wildlife sanctuary,ORG,4
summer storm festival,EVENT,4
vasona lion safari park,PERSON,4
undavalli caves,PERSON,4
kedarnath,PERSON,4
dhaam,ORG,4
sanjay gandhi jaivik udyan,PERSON,4
trans-boundary river,EVENT,4
moti daman,PERSON,4
the pattadakal festival,EVENT,4
maurya,PERSON,4
china,GPE,4
kawal wildlife sanctuary,ORG,4
mahabalipuram,ORG,4
lakhudiyar caves,PERSON,4
dil raju,ORG,4
undavalli,PERSON,4
thousand pillar temple,WORK_OF_ART,4
saluni,GPE,4
gunsi,LOC,4
devka beach,GPE,4
meenakshi,ORG,4
the bengali new year,ORG,4
the yamuna river,LOC,4
cane,ORG,4
jani shikar,PERSON,4
kalari,ORG,4
the kangra valley,ORG,4
the tulip festival,EVENT,4
ubaidullah sindhi,PERSON,4
"the ""pranahita wildlife sanctuary",ORG,4
gangtok,NORP,4
mrugavani national park,WORK_OF_ART,4
hinduism,NORP,4
pathargatti,PERSON,4
navaratri,ORG,4
tipu sultan,GPE,4
parandi,PERSON,4
kangra earthquake,WORK_OF_ART,4
khogampat gardens,ORG,4
mahabodhi temple,PERSON,4
onglakthang valley,GPE,4
dewan devdi,ORG,4
"the ""chithirai festival",PRODUCT,4
the hornbill festival,EVENT,4
the ganges river,LOC,4
bisi bele bath,PERSON,4
gangetic,NORP,4
ruins,PERSON,4
kachari,ORG,4
rajbari,NORP,4
kol uprising,PERSON,4
ganga,GPE,4
muslim,NORP,4
malik aiyaz,PERSON,4
the darbhanga fort,FAC,4
vautha mela,PERSON,4
kerala ayurveda,ORG,4
diu head,PERSON,3
eri,PERSON,3
st. paul’s church,ORG,3
mewar,PERSON,3
kitam bird sanctuary,PERSON,3
khichdi,ORG,3
bengali,NORP,3
arikamedu,GPE,3
the gunabati group of temples,ORG,3
biryani,PERSON,3
dravidian,NORP,3
magadha,GPE,3
kumortuli,PERSON,3
pemayangtse monastery,ORG,3
p.v. narasimha rao,ORG,3
baisakhi,ORG,3
sanskrit,LOC,3
kudalasangama,PERSON,3
fakim wildlife sanctuary,PERSON,3
the cathedral church of the redemption,ORG,3
bholanath,PERSON,3
the warangal fort,LOC,3
the nataraja temple,ORG,3
panchemal,ORG,3
basilica,PERSON,3
religion: buddhism,WORK_OF_ART,3
birsa munda airport,FAC,3
dalai,ORG,3
the eaglenest wildlife sanctuary,ORG,3
dumboor lake,PERSON,3
the kanchipuram silk sarees,ORG,3
majuli island,GPE,3
satmaliya deer park,ORG,3
taj mahal,PERSON,3
the dental council of india,ORG,3
the brihadisvara temple,ORG,3
barabar caves,ORG,3
the rumtek monastery,ORG,3
the sunrise festival,EVENT,3
dong,GPE,3
kudubi,ORG,3
the naini lake,GPE,3
pulakeshin,PERSON,3
mughal garden,PERSON,3
chilkur,ORG,3
himayat sagar,PERSON,3
pedana,GPE,3
charak puja,ORG,3
mughal,ORG,3
textile embroidery,ORG,3
kakatiya kala,PERSON,3
the national gallery of modern art,ORG,3
kullui,PERSON,3
the solung festival,EVENT,3
brihadisvara temple,PERSON,3
k chandrasekhar rao,ORG,3
mining cricket stadium,FAC,3
uttarayan,NORP,3
maddur,GPE,3
uttarayani,NORP,3
keibul lamjao national park,ORG,3
the republic of india,GPE,3
kommu koya,PERSON,3
kuki-chin,PERSON,3
urdu,GPE,3
kabhi kabhi aditi,PERSON,3
bekal fort,PERSON,3
"the ""manjira wildlife sanctuary",PRODUCT,3
vembanad lake,PERSON,3
mast ali,PERSON,3
the natyanjali dance festival,ORG,3
gumti wildlife sanctuary,GPE,3
badkhal lake,PRODUCT,3
the onam festival,EVENT,3
jog falls,PERSON,3
keibul lamjao national gardens,ORG,3
mishti,PRODUCT,3
vvs laxman,PERSON,3
chettinad mansions,PERSON,3
bodhi tree,WORK_OF_ART,3
rangapahar,PERSON,3
"the ""dree festival",EVENT,3
majuli river,LOC,3
"the ""eaglenest wildlife sanctuary",ORG,3
konkan,NORP,3
bharat,PERSON,3
"the ""lotus temple",ORG,3
the kardang monastery,ORG,3
amavasya,FAC,3
the gajwel assembly,ORG,3
the bathu ki ladi temple,ORG,3
