token,count
state,3307
festival,1725
history,1487
tourism,1293
art,910
sanctuary,570
telangana,568
temple,563
cuisine,522
wildlife,494
pradesh,490
language,419
religion,381
park,369
assam,348
lake,346
costume,344
tamil,336
india,318
personalities,314
national,308
nadu,272
hindu,265
century,257
painting,241
karnataka,236
indian,231
palace,212
jharkhand,208
fort,186
sikkim,186
sarees,184
empire,183
silk,174
monastery,169
river,166
tripura,162
embroidery,158
puja,157
west,157
